,MAJOR,CLASS,YEAR,COURSE,CRN,DESCRIPTION,INSTRUCTOR,CREDIT,ENRL,CAP,TERM SCHEDULE,COMMENTS,FINAL SCHEDULE,termcode
1,CS,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
2,ME,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
3,CHE,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
4,CHE,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
5,EE,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
6,AB,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
7,0000,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
8,CHE,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
9,CHE,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
10,CS,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
11,AB,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
12,SE,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
13,BE,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
14,CE,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
15,ME,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
16,ME,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
17,BE,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
18,CHE,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
19,ME,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
20,ME,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
21,CHE,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
22,OE,FR,Y1,MA111-03,1278,Calculus I,shibberu,5,22,27,MTWRF/1/G219,,W at 1pm in O103,200510
1,CE,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
2,CE,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
3,CE,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
4,ME,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
5,ME,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
6,ME,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
7,CHE,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
8,ME,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
9,EE,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
10,CPE,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
11,SE,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
12,ME,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
13,ME,FR,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
14,EE,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
15,CS,JR,Y3,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
16,CS,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
17,CHE,SO,Y3,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
18,CS,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
19,CHE,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
20,CE,SO,Y3,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
21,EE,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
22,ME,SO,Y2,MA222-02,1306,Diff Equations & Matrix Alg II,shibberu,4,24,25,MTRF/4/G222,,W at 8am in G221,200510
